areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000001,Bolton,utla,2021-05-12,00_59,145,749,336.7
E08000001,Bolton,utla,2021-05-11,00_04,4,29,151.3
E08000001,Bolton,utla,2021-05-11,05_09,14,86,426.0
E08000001,Bolton,utla,2021-05-11,10_14,27,106,564.3
E08000001,Bolton,utla,2021-05-11,15_19,9,63,379.8
E08000001,Bolton,utla,2021-05-11,20_24,7,48,289.4
E08000001,Bolton,utla,2021-05-11,25_29,14,59,317.6
E08000001,Bolton,utla,2021-05-11,30_34,12,67,341.0
E08000001,Bolton,utla,2021-05-11,35_39,15,75,406.4
E08000001,Bolton,utla,2021-05-11,40_44,13,57,338.2
E08000001,Bolton,utla,2021-05-11,45_49,11,49,253.6
E08000001,Bolton,utla,2021-05-11,50_54,7,22,109.7
E08000001,Bolton,utla,2021-05-11,55_59,4,25,137.0
E08000001,Bolton,utla,2021-05-11,60_64,3,18,118.0
E08000001,Bolton,utla,2021-05-11,65_69,0,12,86.7
E08000001,Bolton,utla,2021-05-11,70_74,2,3,21.6
E08000001,Bolton,utla,2021-05-11,75_79,0,4,41.6
E08000001,Bolton,utla,2021-05-11,80_84,0,0,0.0
E08000001,Bolton,utla,2021-05-11,85_89,0,1,26.8
E08000001,Bolton,utla,2021-05-11,90+,0,1,48.8
E08000001,Bolton,utla,2021-05-11,unassigned,0,0,
E08000001,Bolton,utla,2021-05-11,60+,5,39,59.9
E08000001,Bolton,utla,2021-05-11,00_59,137,686,308.3
E08000001,Bolton,utla,2021-05-10,00_04,7,26,135.7
E08000001,Bolton,utla,2021-05-10,05_09,21,78,386.3
E08000001,Bolton,utla,2021-05-10,10_14,22,90,479.1
E08000001,Bolton,utla,2021-05-10,15_19,14,69,416.0
E08000001,Bolton,utla,2021-05-10,20_24,8,46,277.4
E08000001,Bolton,utla,2021-05-10,25_29,10,49,263.8
E08000001,Bolton,utla,2021-05-10,30_34,13,63,320.6
E08000001,Bolton,utla,2021-05-10,35_39,11,62,335.9
E08000001,Bolton,utla,2021-05-10,40_44,10,50,296.7
E08000001,Bolton,utla,2021-05-10,45_49,8,40,207.0
E08000001,Bolton,utla,2021-05-10,50_54,3,18,89.7
E08000001,Bolton,utla,2021-05-10,55_59,4,21,115.0
E08000001,Bolton,utla,2021-05-10,60_64,4,15,98.3
E08000001,Bolton,utla,2021-05-10,65_69,6,12,86.7
E08000001,Bolton,utla,2021-05-10,70_74,0,1,7.2
E08000001,Bolton,utla,2021-05-10,75_79,2,4,41.6
E08000001,Bolton,utla,2021-05-10,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-10,85_89,1,1,26.8
E08000001,Bolton,utla,2021-05-10,90+,1,1,48.8
E08000001,Bolton,utla,2021-05-10,unassigned,0,0,
E08000001,Bolton,utla,2021-05-10,60+,14,35,53.8
E08000001,Bolton,utla,2021-05-10,00_59,131,612,275.1
E08000001,Bolton,utla,2021-05-09,00_04,7,22,114.8
E08000001,Bolton,utla,2021-05-09,05_09,12,60,297.2
E08000001,Bolton,utla,2021-05-09,10_14,17,72,383.3
E08000001,Bolton,utla,2021-05-09,15_19,11,62,373.8
